     MD              HM(g/cm^3)             DNS(g/cm^3)                    LITH               YOMO(Gpa)                    SAND
     9.7                  2.0756                  1.9773                  900000                  4.7268                 31.2437
    9.75                  2.0244                  1.9857                  900000                  6.6651                  31.865
     9.8                  2.0476                  1.9924                  900000                  5.5967                 32.2952
    9.85                  2.0322                  2.0051                  900000                  6.7844                 33.0638
     9.9                  2.0894                  2.0153                  900000                  4.9506                 33.5633
    9.95                  2.0729                  2.0254                  900000                  4.4367                 33.7633
      10                  2.0803                  2.0244                  900000                  8.8878                 33.2315
   10.05                    2.08                  2.0277                  900000                 24.9493                 32.9344
    10.1                  2.0865                  2.0302                  900000                 87.7008                 32.5029
   10.15                   2.066                  2.0323                  900000                 17.5515                 32.0712
    10.2                  2.0542                  2.0258                  900000                  7.1339                 31.2721
   10.25                  2.0705                  2.0184                  900000                  7.1722                  30.561
    10.3                  2.0506                  2.0115                  900000                 10.1638                 29.7696
   10.35                  2.0312                  2.0122                  900000                 47.6564                  29.487
    10.4                   2.006                  2.0065                  900000                169.9447                 29.1138
   10.45                  2.0189                  2.0078                  900000                  900000                 29.3088
    10.5                  2.0858                  2.0114                  900000                  900000                 29.7293
   10.55                  2.0352                  2.0161                  900000                  900000                 30.2512
    10.6                  2.0777                  2.0183                  900000                 45.5422                 30.9372
   10.65                  2.0865                  2.0207                  900000                 20.3084                 31.7515
    10.7                  2.1135                  2.0249                  900000                 11.5684                 32.5317
   10.75                  2.0701                  2.0222                  900000                 30.1057                 32.9558
    10.8                  2.0524                  2.0091                  900000                189.8027                 32.8109
   10.85                  2.0439                  2.0015                  900000                  900000                 32.8483
    10.9                  1.9949                  1.9974                  900000                172.1685                 32.9765
   10.95                  1.9681                  1.9941                  900000                171.3553                  33.072
      11                  1.9666                  1.9849                  900000                 41.7144                 32.8959
   11.05                  2.0401                  1.9787                  900000                 18.1344                 32.8465
    11.1                  2.0571                  1.9758                  900000                 40.6241                 32.7562
   11.15                  2.0305                   1.972                  900000                157.4761                 32.5889
    11.2                  2.0148                  1.9702                  900000                  900000                 32.4805
   11.25                  2.0258                  1.9731                  900000                  900000                 32.5675
    11.3                  2.0103                  1.9829                  900000                  900000                 33.1281
   11.35                  1.9787                  1.9895                  900000                  900000                 33.5239
    11.4                  1.9942                  1.9936                  900000                  900000                 33.7433
   11.45                  2.0546                  2.0051                  900000                  900000                  34.291
    11.5                  2.0992                  2.0155                  900000                  900000                 34.6827
   11.55                  2.0942                  2.0234                  900000                  900000                 34.9868
    11.6                  2.1341                  2.0333                  900000                  900000                 35.4634
   11.65                  2.1082                  2.0536                  900000                  900000                 36.5981
    11.7                  2.0974                  2.0687                  900000                  900000                 37.5088
   11.75                  2.0989                  2.0789                  900000                  900000                  38.096
    11.8                  2.1613                  2.0891                  900000                  900000                 38.6207
   11.85                  2.1302                  2.1041                  900000                  900000                 39.4975
    11.9                  2.1467                   2.111                  900000                  900000                 39.9701
   11.95                  2.1906                  2.1157                  900000                  900000                 40.1966
      12                  2.2295                  2.1203                  900000                  900000                 40.3883
   12.05                  2.1959                  2.1183                  900000                  900000                 40.2643
    12.1                  2.1507                  2.1099                  900000                  900000                 39.8481
   12.15                  2.1391                  2.1036                  900000                  900000                  39.588
    12.2                  2.0804                  2.0983                  900000                  900000                 39.4415
   12.25                   2.086                  2.0894                  900000                  900000                 39.1976
    12.3                  2.0739                  2.0781                  900000                  900000                 38.7813
   12.35                  2.0986                  2.0724                  900000                  900000                 38.7268
    12.4                  2.1106                   2.071                  900000                  900000                 38.8485
   12.45                  2.1281                  2.0725                  900000                  900000                 39.1145
    12.5                  2.1441                  2.0803                  900000                  900000                 39.6433
   12.55                  2.1383                  2.0868                  900000                  900000                 40.0051
    12.6                  2.1527                  2.0967                  900000                  900000                 40.4281
   12.65                  2.1506                  2.1058                  900000                  900000                 40.6831
    12.7                  2.1444                  2.1216                  900000                  900000                 41.3684
   12.75                  2.1633                  2.1319                  900000                  900000                 41.8754
    12.8                  2.1803                  2.1338                  900000                  900000                 41.8717
   12.85                  2.2522                   2.135                  900000                  900000                  42.004
    12.9                  2.2212                  2.1462                  900000                  900000                 43.0323
   12.95                   2.161                  2.1628                  900000                  900000                 44.5249
      13                  2.1494                  2.1723                  900000                  900000                 45.5663
   13.05                  2.2539                  2.1717                  900000                  900000                 45.9672
    13.1                  2.2993                  2.1703                  900000                  900000                 46.4137
   13.15                  2.2301                  2.1626                  900000                  900000                 46.3825
    13.2                  2.1577                  2.1607                  900000                  900000                 46.4473
   13.25                  2.1685                  2.1686                  900000                  900000                 46.8609
    13.3                  2.1821                   2.187                  900000                  900000                    47.8
   13.35                  2.2047                  2.1936                  900000                  900000                 47.6663
    13.4                  2.2315                  2.1942                  900000                  900000                  47.033
   13.45                  2.3158                  2.2003                  900000                  900000                 46.8432
    13.5                  2.3124                  2.2133                  900000                  900000                 47.1639
   13.55                  2.3051                  2.2238                  900000                  900000                 47.3574
    13.6                  2.2847                  2.2283                  900000                  900000                 47.1329
   13.65                  2.2754                  2.2313                  900000                  900000                 46.8465
    13.7                  2.2628                  2.2273                  900000                  900000                 46.2511
   13.75                  2.2227                  2.2094                  900000                  900000                 44.9092
    13.8                  2.2318                  2.1876                  900000                  900000                 43.4504
   13.85                   2.195                  2.1748                  900000                  900000                  42.504
    13.9                  2.1547                  2.1675                  900000                  900000                 41.7995
   13.95                  2.1164                   2.163                  900000                  900000                 41.2383
      14                    2.19                  2.1611                  900000                  900000                 40.8283
   14.05                  2.2187                  2.1641                  900000                  900000                 40.8939
    14.1                  2.2352                   2.156                  900000                  900000                 40.4933
   14.15                  2.2452                  2.1492                  900000                  900000                 40.3756
    14.2                    2.25                   2.146                  900000                  900000                 40.4437
   14.25                  2.1589                  2.1491                  900000                  900000                 40.8072
    14.3                  2.1338                  2.1398                  900000                  900000                 40.5661
   14.35                  2.1256                  2.1273                  900000                  900000                 40.2807
    14.4                  2.1445                  2.1184                  900000                  900000                 40.2132
   14.45                   2.106                  2.1129                  900000                  900000                   40.35
    14.5                  2.1063                  2.1074                  900000                  900000                 40.3678
   14.55                  2.1553                  2.1107                  900000                  900000                 40.7457
    14.6                  2.1958                  2.1154                  900000                  900000                  41.025
   14.65                  2.2003                  2.1162                  900000                  900000                 41.1924
    14.7                  2.1891                  2.1115                  900000                  900000                 41.3462
   14.75                  2.1755                   2.108                  900000                  900000                 41.5756
    14.8                  2.1331                   2.104                  900000                  900000                 41.8012
   14.85                   2.102                  2.0956                  900000                  900000                 41.8789
    14.9                  2.0748                   2.085                  900000                  900000                 41.8546
   14.95                  2.0702                  2.0767                  900000                  900000                 42.1702
      15                  2.0797                  2.0781                  900000                  900000                 43.1938
   15.05                  2.1005                  2.0801                  900000                  900000                 44.3661
    15.1                  2.1252                  2.0867                  900000                  900000                 45.7872
   15.15                  2.2023                  2.0949                  900000                  900000                 46.9539
    15.2                  2.1934                  2.1097                  900000                  900000                 48.3379
   15.25                  2.1926                  2.1176                  900000                  900000                 49.1094
    15.3                  2.1759                  2.1144                  900000                  900000                  49.064
   15.35                  2.2073                  2.1024                  900000                  900000                 48.3967
    15.4                  2.1417                  2.0911                  900000                  900000                 47.5098
   15.45                  2.0511                  2.0759                  900000                  900000                 46.2452
    15.5                  1.9922                  2.0709                  900000                  900000                  45.473
   15.55                  2.0233                  2.0645                  900000                  900000                 44.5904
    15.6                  2.0658                  2.0601                  900000                  900000                 43.9457
   15.65                  2.1479                  2.0536                  900000                  900000                 43.2906
    15.7                   2.135                  2.0513                  900000                  900000                 43.0396
   15.75                  2.1363                  2.0497                  900000                  900000                 42.9402
    15.8                  2.1487                  2.0501                  900000                  900000                 42.9623
   15.85                  2.1217                  2.0537                  900000                  900000                 43.1841
    15.9                  2.0362                  2.0633                  900000                  900000                 43.6748
   15.95                  1.9955                  2.0678                  900000                  900000                 43.8264
      16                  2.0564                  2.0711                  900000                  900000                  43.731
   16.05                  2.1522                   2.072                  900000                  900000                 43.4067
    16.1                   2.188                  2.0712                  900000                  900000                 42.9487
   16.15                  2.1644                  2.0721                  900000                  900000                 42.5399
    16.2                  2.1446                  2.0802                  900000                  900000                 42.4433
   16.25                  2.1414                  2.1041                  900000                  900000                 43.2993
    16.3                  2.1305                  2.1191                  900000                  900000                  43.673
   16.35                  2.1091                  2.1246                  900000                  900000                 43.5673
    16.4                  2.2106                  2.1166                  900000                  900000                 42.7937
   16.45                  2.1908                  2.1099                  900000                  900000                 42.2414
    16.5                  2.2019                  2.1033                  900000                  900000                 41.7306
   16.55                  2.1161                  2.0983                  900000                  900000                 41.2549
    16.6                  2.1037                  2.0962                  900000                  900000                 40.7454
   16.65                  2.0858                  2.0995                  900000                  900000                 40.5958
    16.7                  2.0966                  2.0945                  900000                  900000                  40.061
   16.75                  2.1111                  2.0885                  900000                  900000                 39.4955
    16.8                  2.1391                  2.0728                  900000                  900000                 38.4881
   16.85                  2.1656                  2.0659                  900000                  900000                 38.1901
    16.9                  2.1369                  2.0681                  900000                  900000                  38.558
   16.95                  2.0602                  2.0756                  900000                  900000                 39.5364
      17                  2.0542                  2.0846                  900000                  900000                 40.7462
   17.05                  2.1237                  2.0896                  900000                  900000                 42.1331
    17.1                  2.1534                  2.0934                  900000                  900000                 43.4146
   17.15                  2.1769                  2.0948                  900000                  900000                  44.451
    17.2                  2.1568                  2.1037                  900000                  900000                 45.9265
   17.25                  2.1733                   2.124                  900000                  900000                 47.7394
    17.3                  2.1779                  2.1399                  900000                  900000                 48.9932
   17.35                  2.2167                  2.1423                  900000                  900000                 49.2831
