?rank,rid,costMoney,level,vip,nickname,clubName,combat,topHeroesCombat,online,lastOfflineTime,groupId
1099, 427415_1006, 6, 19, 1, 超级丨帅帅, 0, 5025, 5858, 0, 2019-12-02 15:30:31, Group_1
1100, 435829_1006, 6, 38, 1, 重口味之道长, 刘新宇潘爽, 36106, 46800, 0, 2019-12-03 22:31:44, Group_3
1101, 422828_1006, 6, 40, 2, 英俊丨道长, 八神庵, 30842, 46473, 0, 2019-12-04 01:39:44, Group_3
1102, 428322_1006, 6, 38, 1, 初音未来公主, Hakuna, 26806, 43265, 0, 2019-12-04 03:12:24, Group_4
1103, 433544_1006, 6, 35, 1, 大家法官大帝, 六芒星, 18697, 27572, 0, 2019-12-03 07:11:28, Group_3
1104, 422655_1006, 6, 40, 2, 虚伪灬喵星人, 水花兄弟, 36142, 53247, 0, 2019-12-04 00:04:03, Group_1
1105, 431226_1006, 6, 24, 1, 快乐丶小妞, 0, 5993, 7479, 0, 2019-12-03 22:29:06, Group_1
1106, 427650_1006, 6, 35, 1, 嚣张的电猫猫兔, 水花兄弟, 24810, 38411, 0, 2019-12-04 01:16:47, Group_1
1107, 420856_1006, 6, 40, 1, 高傲之小黄瓜, 刘新宇潘爽, 36465, 47640, 0, 2019-12-03 22:15:48, Group_3
1108, 429513_1006, 6, 33, 1, 骄横_草根, 哦啊, 16311, 22886, 0, 2019-12-03 13:12:06, Group_2
1109, 427837_1006, 6, 37, 1, 霸道丶洛神, 祖师殿, 24921, 36727, 0, 2019-12-03 18:21:10, Group_2
1110, 435394_1006, 6, 37, 1, 猖獗_绿豆饼, 八尺琼楼, 22848, 34023, 0, 2019-12-03 12:06:24, Group_3
1111, 430759_1006, 6, 21, 1, 未来_魔王, 0, 5365, 6740, 0, 2019-12-03 14:44:52, Group_4
1112, 429018_1006, 6, 27, 1, 晓东真的很猛, 梦之队, 12687, 17330, 0, 2019-12-04 03:24:00, Group_4
1113, 429179_1006, 6, 33, 1, 开心灬电神, 快快乐乐, 13758, 18095, 0, 2019-12-03 15:46:31, Group_1
1114, 429772_1006, 6, 40, 2, 活泼丶小泽, 兄弟团, 32113, 49737, 0, 2019-12-03 22:55:03, Group_1
1115, 428977_1006, 6, 38, 1, 神的叹息, 乐神, 27428, 41610, 0, 2019-12-03 19:59:16, Group_1
1116, 429287_1006, 6, 36, 1, 二师兄, 5, 23567, 33640, 0, 2019-12-03 22:02:33, Group_4
1117, 422300_1006, 6, 38, 1, 郁闷_白风, 小乐乐, 27199, 40043, 0, 2019-12-04 00:16:14, Group_1
1118, 427257_1006, 6, 41, 2, 勋, 八神超玩会, 43452, 65614, 0, 2019-12-04 04:41:36, Group_3
1119, 432829_1006, 6, 34, 1, 哀伤丨独眼龙, 名人堂, 16555, 27673, 0, 2019-12-04 00:50:48, Group_1
