         MD LLA(mA)   LLS(ohm*m)  MSFL(ohm*m)    LLD(ohm*m)  AR(ohm*m)   devi(deg)   Azi(deg)    GR(API)     GPA(pA/kg)  SP(mV)
         9.4        36        8797        84.6944   8469.4443      3.9279        0.28       201.3     61.2778      1.0356    -35.6667
        9.45        34        9052        90.1765   9017.6465      3.9551        0.29       205.4     60.6667      1.0253    -35.2222
         9.5        34        8466        90.6471   9064.7061      3.9574         0.3       213.6     59.8889      1.0121    -34.6667
        9.55        37        8153        83.6757   8367.5674      3.9226         0.3       219.5     59.0556       0.998    -34.4443
         9.6        38        8069        81.4474   8144.7363      3.9109         0.3       228.2     57.8889      0.9783    -34.5557
        9.65        39        7690             79        7900      3.8976        0.31       231.1     56.8889      0.9614    -34.7778
         9.7        40        7671           76.8   7680.0005      3.8854        0.33       225.9     56.4444      0.9539    -34.7778
        9.75        41        7455        74.7317   7473.1704      3.8735        0.34       223.7     56.2222      0.9502    -34.8889
         9.8        42        7257        72.6667   7266.6665      3.8613        0.34       223.2     56.1667      0.9492    -35.1111
        9.85        42        7240        72.5238   7252.3813      3.8605        0.34       225.2     56.1667      0.9492    -35.7778
         9.9        42        7239        72.3571   7235.7139      3.8595        0.36       228.4     56.3889       0.953    -36.6667
        9.95        42        7237        72.4286   7242.8574      3.8599        0.38       230.2     57.1667      0.9661    -37.5557
          10        42        7293        72.3571   7235.7139      3.8595        0.38       232.1     58.0556      0.9811    -38.3333
       10.05        41        7637        74.3902   7439.0244      3.8715        0.39       233.2          59      0.9971    -38.6667
        10.1        40        7653          76.45   7644.9995      3.8834        0.41       239.1     60.1111      1.0159    -38.4443
       10.15        40        7648          76.55   7655.0005      3.8839        0.41       249.9     61.1667      1.0337    -37.8889
        10.2        40        7832           76.4        7640      3.8831        0.41       241.2     61.9444      1.0469         -37
       10.25        39        7814        78.2821   7828.2051      3.8937        0.41       233.6     62.4444      1.0553    -35.8889
        10.3        39        8022        78.0769   7807.6919      3.8925        0.42       228.6     63.1667      1.0675    -34.5557
       10.35        38        8035        80.2632   8026.3159      3.9045        0.42         221     63.7778      1.0778    -32.8889
        10.4        37        8261        82.6216   8262.1621      3.9171        0.42       217.5     63.8333      1.0788    -31.2222
       10.45        36        8466        84.7778   8477.7783      3.9283        0.42       215.5     63.6111       1.075    -29.5557
